id|title|hostDoctorId|scheduledAt|status|meetingUrl|notes
d143d40e-7cb2-4f02-a3da-f12de4c1558d|呼吸科远程专家会诊|2b4936cb-089f-4379-92bd-82ab842c1688|2025-11-03T15:00|SCHEDULED|https://meet.example.com/session/respiratory|患者持续咳嗽，请会诊呼吸科专家
7196009a-e392-4efd-9e65-2e9c827c5e74|骨科疑难病例讨论|580bd327-3564-4856-9a1b-fc301a7b3aa9|2025-10-28T19:30|COMPLETED|https://meet.example.com/session/orthopedic|术后康复方案评估
d8c6ab3f-8531-4fef-9c9e-601a6f46b90e|神经内科会诊：TIA后管理|485913d5-05e6-4c18-bf60-f49b1b57d66d|2025-11-06T16:00|SCHEDULED|https://meet.example.com/session/neuro|患者短暂性脑缺血发作后制定二级预防方案
8cb2a079-4b9d-4e4c-9ca3-b229b9c96589|皮肤免疫联合讨论|485913d5-05e6-4c18-bf60-f49b1b57d66d|2025-11-07T17:00|PLANNED|https://meet.example.com/session/derm|系统性红斑狼疮皮肤损伤处理策略协调
035cc22c-ee3a-4b39-bea1-4f3b8cf795f0|神经内科 专家讨论会 5|7ad821a4-0b2f-4bb6-85a2-6be7a329a1f1|2025-11-06T15:05:01.025019|COMPLETED|https://meet.example.com/session/5|聚焦复杂病例的会诊与方案制定
28275daf-de5b-4e68-9a87-93a609f82e82|肿瘤科 专家讨论会 6|acf0be0c-c851-41d4-bb51-51aa7da6d601|2025-11-07T16:05:01.030046|PLANNED|https://meet.example.com/session/6|聚焦复杂病例的会诊与方案制定
5c40a6aa-16d1-4993-8888-095f90929f4c|内分泌科 专家讨论会 7|2ab7d795-2e4d-4c57-8b43-2d98dd7a9c18|2025-11-08T17:05:01.030635|SCHEDULED|https://meet.example.com/session/7|聚焦复杂病例的会诊与方案制定
0efd4d29-e144-42c6-9c95-730157d65db2|康复科 专家讨论会 8|564fceb4-4ff0-4918-963f-1f5a2247fb4c|2025-11-09T14:05:01.031134|COMPLETED|https://meet.example.com/session/8|聚焦复杂病例的会诊与方案制定
7a11da63-0ebf-4908-948c-fc35661a7764|全科 专家讨论会 9|2396508c-ac3f-4aee-9a37-f67097636543|2025-11-10T15:05:01.032115|PLANNED|https://meet.example.com/session/9|聚焦复杂病例的会诊与方案制定
9f1013a9-3be1-4888-9418-8aa2e22eb71a|呼吸科 专家讨论会 10|43f280ca-1ec9-4073-98eb-c106ebc62ea7|2025-11-11T16:05:01.032649|SCHEDULED|https://meet.example.com/session/10|聚焦复杂病例的会诊与方案制定
